model,"clustering
algorithm","dimensionality
reduction",BlurbsClusteringS2S,BlurbsClusteringSP2P,10kGNADClusteringS2S,10kGNADClusteringP2P
gbert-base,minibatch_kmeans,-,0.112671049316939,0.353583482102813,0.242344552391346,0.371566057467428
gbert-base,minibatch_kmeans,pca,0.0777671041805759,0.282103942265806,0.161621841318318,0.223432937769083
gbert-base,minibatch_kmeans,umap,0.128132315578683,0.388111794621666,0.293149898962799,0.436132825338465
gbert-base,minibatch_kmeans,pca+umap,0.130091638633461,0.381730338558007,0.288475293664304,0.40041151901687
gbert-base,agglomerative,-,0.122555007222791,0.365500728379183,0.233698977687029,0.390790344115844
gbert-base,agglomerative,pca,0.0764838065513696,0.281541533230531,0.156090401197698,0.215749839242043
gbert-base,agglomerative,umap,0.128414238366791,0.386473044041221,0.284943294898888,0.432163776799657
gbert-base,agglomerative,pca+umap,0.135298949874227,0.378635201892333,0.286346037071778,0.406316649434935
gbert-base,hdbscan,pca,0.092841455320237,0.121429731876474,0.0878780147634584,0.112088120454238
gbert-base,hdbscan,umap,0.143147353990695,0.228356662475019,0.0543865219456264,0.324525869290628
gbert-base,hdbscan,pca+umap,0.145646923652315,0.242303154361018,0.162201771418459,0.352124570489061
gbert-base,dbstream,pca,0.117158951149945,0.261506054193205,0.162466842655547,0.218331474577554
gbert-base,dbstream,umap,0.126968078297751,0.370571106215641,0.289172894805377,0.427386392167265
gbert-base,dbstream,pca+umap,0.135526610923928,0.363080746655188,0.292474309841386,0.412041561853931
gbert-large,minibatch_kmeans,-,0.133771100864799,0.392968164291731,0.349667381745043,0.416860247351736
gbert-large,minibatch_kmeans,pca,0.100443756439491,0.308775265057465,0.246710867213275,0.281775578873874
gbert-large,minibatch_kmeans,umap,0.156253205331452,0.423950492830575,0.407429584861096,0.483115805893804
gbert-large,minibatch_kmeans,pca+umap,0.16155232224427,0.420486875135654,0.422991965269453,0.470110554797457
gbert-large,agglomerative,-,0.15346046365093,0.417414864554982,0.357465069383771,0.455382211806237
gbert-large,agglomerative,pca,0.100496751158374,0.312347273528722,0.242867854737821,0.278716878244411
gbert-large,agglomerative,umap,0.156750709690904,0.425642820144678,0.414465348015092,0.499101116065403
gbert-large,agglomerative,pca+umap,0.162417052178325,0.418969823081815,0.416535509533656,0.483820186361541
gbert-large,hdbscan,pca,0.0688053584191239,0.131955201072378,0.0866870186629883,0.17368387849622
gbert-large,hdbscan,umap,0.164851651926161,0.302589576982622,0.30047817241985,0.38842013121876
gbert-large,hdbscan,pca+umap,0.160635359866094,0.348198697135544,0.233143414646736,0.385744616169722
gbert-large,dbstream,pca,0.106698549211481,0.295978705611152,0.234910103348833,0.276880781462188
gbert-large,dbstream,umap,0.159465218791482,0.406349632716036,0.397319423736426,0.468089123992303
gbert-large,dbstream,pca+umap,0.166484777774721,0.40287889845942,0.392131715328795,0.454491213561863
